Name,Tag,RosterURL,City,State,Division,Type
Boston College,BC,http://msn.foxsports.com/collegefootball/team/boston-college-eagles-football/roster/86049?q=boston-college-eagles-football,Chestnut Hill,MA,Atlantic,Private
Clemson University,CLEM,http://msn.foxsports.com/collegefootball/team/clemson-tigers-football/roster/86040?q=clemson-tigers-football,Clemson,SC,Atlantic,Public
Duke University,DUKE,http://msn.foxsports.com/collegefootball/team/duke-blue-devils-football/roster/86041?q=duke-blue-devils-football,Durham,NC,Coastal,Private
Florida State Universiy,FSU,http://msn.foxsports.com/collegefootball/team/florida-state-seminoles-football/roster/86043?q=florida-state-seminoles-football,Tallahassee,FL,Atlantic,Public
Georgia Tech,GT,http://msn.foxsports.com/collegefootball/team/georgia-tech-yellow-jackets-football/roster/86042?q=georgia-tech-yellow-jackets-football,Atlanta,GA,Coastal,Public
University of Louisville,LOU,http://msn.foxsports.com/collegefootball/team/louisville-cardinals-football/roster/86145?q=louisville-cardinals-football,Louisville,KY,Atlantic,Public
University of Miami,MIAMI,http://msn.foxsports.com/collegefootball/team/miami-(fl)-hurricanes-football/roster/86056?q=miami-(fl)-hurricanes-football,Coral Gables,FL,Coastal,Private
North Carolina State University,NCSU,http://msn.foxsports.com/collegefootball/team/north-carolina-tar-heels-football/roster/86047?q=north-carolina-tar-heels-football,Raleigh,NC,Atlantic,Public
University of North Carolina at Chapel Hill,UNC,http://msn.foxsports.com/collegefootball/team/north-carolina-state-wolfpack-football/roster/86044?q=north-carolina-state-wolfpack-football,Chapel Hill,NC,Coastal,Public
University of Pittsburgh,PITT,http://msn.foxsports.com/collegefootball/team/pittsburgh-panthers-football/roster/86050?q=pittsburgh-panthers-football,Pittsburgh,PA,Coastal,Both
Syracuse University,CUSE,http://msn.foxsports.com/collegefootball/team/syracuse-orange-football/roster/86055?q=syracuse-orange-football,Syracuse,NY,Atlantic,Private
University of Virginia,UVA,http://msn.foxsports.com/collegefootball/team/virginia-cavaliers-football/roster/86046?q=virginia-cavaliers-football,Charlottesville,VA,Coastal,Public
Virginia Tech,VT,http://msn.foxsports.com/collegefootball/team/virginia-tech-hokies-football/roster/86054?q=virginia-tech-hokies-football,Blacksburg,VA,Coastal,Public
Wake Forest University,WAKE,http://msn.foxsports.com/collegefootball/team/wake-forest-demon-deacons-football/roster/86045?q=wake-forest-demon-deacons-football,Winston-Salem,NC,Atlantic,Private
